year,Argentina,Australia,Austria,Barbados,Belgium,Bolivia (Plurinational State of),Botswana,Brazil,Burkina Faso,Cameroon,Canada,Chad,Chile,China,"China, Hong Kong SAR",Colombia,Costa Rica,Cyprus,Côte d'Ivoire,Denmark,Dominican Republic,Ecuador,Egypt,Finland,France,Gabon,Germany,Greece,Guatemala,Iceland,India,Indonesia,Iran (Islamic Republic of),Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Luxembourg,Malaysia,Malta,Mauritius,Mexico,Morocco,Mozambique,Namibia,Netherlands,New Zealand,Niger,Nigeria,Norway,Paraguay,Peru,Philippines,Portugal,Republic of Korea,Romania,Rwanda,Senegal,Singapore,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad and Tobago,Tunisia,Turkey,U.R. of Tanzania: Mainland,United Kingdom,United States,Uruguay,Venezuela (Bolivarian Republic of),Zambia,Zimbabwe
1960-01-01,3252.6304937262184,15437.93921587361,10109.611369354281,9270.01898342287,11293.192122263776,1545.339433167888,519.4698427467649,2429.154769136258,900.5861564599616,1562.7697885201433,14980.657991366155,1462.4075729652027,5466.905226577042,996.1005542456209,4147.52844710937,3763.216611346512,5118.8613718025235,4003.454119455718,2030.6597762534968,13838.497407652632,2576.5653182761666,4261.882390883877,742.3300051078176,9996.589671679956,11326.729965872455,2919.4871842829025,11135.842894423218,5311.823728995225,2484.059900213341,11993.063517159284,1148.3949360672264,1024.2762642230837,2809.60117542434,7065.146144418939,9531.664011549747,7816.457784407395,5564.289686646209,5821.0912031885,2849.789135780625,1874.943607999995,20780.012009000104,2929.057483433068,2307.696412138621,4136.290705745555,6472.486122939716,1500.8962590018737,627.7240507774384,4788.867629428376,12502.422791317087,14751.457298898014,1964.4305829782868,2000.9889904337656,12208.546496983794,2070.1415098923108,2823.0676688215426,2031.7543557794672,4544.480722811044,1224.790570106936,1533.653756536929,1026.5346500409134,3003.0773840735956,2753.451698626841,6526.071714856579,6251.700803901247,3028.5787251993584,14606.947242853515,22529.51776766973,2553.96812300537,1214.7234732401948,7869.284795806524,1736.28927711135,5051.111940364787,1199.687986446391,12861.092669631382,18900.7482995768,7705.264011455653,7851.395244229604,2858.7623231620487,2485.5711122595203
1961-01-01,3353.9496001245966,15473.133027945616,10639.052413533624,9612.447342010571,11737.216192964528,1595.4433484726644,546.602609222833,2660.4711107698736,868.7979180200211,1592.8873467739613,15212.399257875666,1508.3036361366242,5181.702596861171,857.2252024008504,4267.567319820132,3875.528794651395,4868.333528717954,4464.270829157564,1989.2829680139976,14599.91625806999,2438.9677685351394,4331.561607997091,755.4980097561487,10942.40280632223,11748.185463153057,3095.243819822204,11521.022580680075,6003.546364585495,2492.387857675108,12586.393460543284,1167.3088672476663,1020.5812974125016,2817.3706497843896,7449.719487870412,10456.032690363141,8450.219489154106,5765.521675689304,6398.089519801418,3145.5415997422483,1831.7416629072466,20408.19317998585,2842.293855256013,2383.234083206859,4717.47936195766,6450.84288889376,1830.8871336517648,625.1639367439886,4659.345215540301,12763.756983533218,15164.504023227742,2048.4909037525226,2009.8642164606226,12895.270817418963,2130.4547688585753,2904.4559622788092,2036.912555879182,4810.579125844,1244.7821666883797,1672.7467426995895,976.7853004479853,3005.935255371836,2857.575984544476,6608.345807915694,6898.983933575266,2919.825530708777,15347.653401662883,23763.679676246316,2698.279393409659,1258.7176820186075,9048.024833983623,1852.3135172304385,4998.647316371264,1181.740035730994,13104.363940648609,19068.181066674548,7713.958736685588,7718.622952410679,2713.0675694078755,2547.953859098187
1962-01-01,3145.8337253850423,16085.577382810843,10893.577429225033,10007.940403225584,12290.966809252828,1604.5216987841782,578.9854490905766,2750.120053046702,931.3505021141851,1554.347342128973,15865.701721698582,1695.619868630777,6272.529842872344,921.0377498097859,4692.468107615854,3944.3326512370386,5014.773916815612,5276.472329109516,2021.017736088398,15312.042356018674,2935.6549385404364,4388.542546784172,778.2365552195107,11057.878230440256,12272.304545713874,3451.964853673855,11891.337982699177,5885.486399175302,2508.6362084024145,12818.870620394404,1189.8613038182816,1094.4362074618655,2858.207634439208,7640.143768363271,10524.091948374109,8898.500178949798,5669.639099135419,6959.574964487977,3123.3324965061356,1892.2581739663594,19573.58247481199,2887.320599132691,2335.265160793967,4960.473828747521,6501.100933859777,2023.6548581285213,663.9193359514576,5159.195387476536,13296.523746059893,15358.308644498678,2203.9808056997576,2048.3074557130926,13160.625882033883,2145.2385825905144,3073.789696072973,2107.579486206315,5184.756773411942,1221.2956089008505,1821.6061302438154,1073.00623342862,2916.506343271486,3030.007569959881,6694.1442256412165,7509.6784413506475,3047.4716505370307,15819.357315844654,24324.099307441804,2843.1345450845656,1274.56466720896,8650.320971393863,1844.890714143264,5165.759932767505,1264.679476371908,13187.817969658041,19929.942622525516,7773.475156648402,7793.0941389673835,2582.095370207281,2452.915674665283
1963-01-01,3073.95187852508,17126.59188679933,11316.709074819717,10530.637175955224,12612.764838135494,1671.2246844251151,600.9096266497871,2847.9783236522812,897.8690317015111,1637.7285538583797,16342.581169560903,1527.71009362057,6489.135027084772,1003.0550397196819,5322.230361845096,3940.751608222637,5137.602223195689,5293.764026921104,2279.7016341990416,15501.668195819295,3043.2705684702682,4340.968355190425,825.8122155016031,11226.655257415932,12866.807280877054,4130.375614771622,12040.616834554883,6630.980067483868,2613.3095243876583,14108.51745327375,1246.232149907961,1039.992972704637,2877.51853604714,7938.1098122700205,11235.953944908499,9304.82468001181,6203.054644463419,7473.350455499638,3130.370001078162,1881.088916625721,19807.91507495579,2918.2500812397034,2339.4559584972235,5962.182734131953,6899.624148187587,2305.5432405937163,670.141411584237,5419.492807239877,13711.781254737494,16322.91288908423,2360.828136344663,2092.2278198047716,13485.482291537428,2211.0310323455824,3168.1824234146275,2174.9879501405485,5481.432698240156,1344.164819132383,1958.3732069327775,938.0498609648802,2904.6737207070782,3292.3095033950735,6969.302768998254,8161.915243250068,2862.734784928014,16507.99389414413,24972.619902929706,3108.697374729226,1315.5940078049878,9668.196740514391,1984.1488111945346,5521.46122035883,1331.5425173152867,13592.44567948818,20496.012846995814,7463.1808878771635,8011.923465486873,2661.708147438892,2434.347993749823
1964-01-01,3232.069949127635,17551.08833245183,11799.938401767493,10177.194147053897,13416.457116221221,1766.8292655806742,635.2055185661321,2912.6840020782315,939.889585895403,1670.6184960869089,17156.526784217534,1513.636976166025,6496.159825139292,1095.9631746436332,5669.383646511274,4175.182611626432,5284.735351686278,4588.755877967797,2618.793366343661,16740.483673582592,3097.1562364940974,4534.075381511726,912.4482465378275,11737.465271752115,13599.991836634736,4512.5209694790565,12832.087662740058,7091.929233846823,2655.6066606736654,15965.87991720203,1308.7856772367763,1025.9167716764612,2870.2889929066864,8278.042982793846,11899.134411652009,9488.78571736663,6218.956256786638,8251.859885807606,3503.2675594295715,1976.9132513170068,21198.97344313111,3013.607377432334,2393.1679758777773,6110.288428346406,7577.689457839936,2404.436552418611,683.9614179403908,6099.183855603711,14562.24077600434,16840.16562437944,2263.3696811981295,2039.5170483892678,14304.985086325176,2241.9087547677195,3372.711580779416,2136.634174682009,5610.737806794863,1417.7470942915625,2066.3507948006227,816.7604448522176,2911.333220440866,3123.2593328931557,7274.837986052146,8508.507578976869,2903.375688434962,17483.481032825366,26086.78410570256,3449.72781846189,1392.5595474179122,9838.998520411826,1963.8408223770168,5630.367013984638,1484.043186002143,14308.948817836537,21400.358562020672,7707.037661439318,8533.701578621858,3031.8936738007346,2297.1940388271573
1965-01-01,3670.7265906227262,17488.758762428155,12125.572445991931,10209.163621537371,13861.289084017535,1913.4543947795896,593.7363280092563,3028.0547787617434,930.1538212059293,1716.370585764528,17990.958514733076,1562.4989313689262,6400.805742446893,1175.8580604307294,6455.597979254521,4046.001056186727,5509.254040104932,5813.379975870737,2253.081981838783,17406.06424414049,2637.4593052505406,4530.324778674339,924.5017522906126,12503.14366955738,14116.597544958226,5028.575827047175,13365.383676031204,7824.810249201325,2684.949593687544,17504.737361444957,1257.5759720527833,995.7832116235035,3116.0362910980816,8362.628087512712,11745.852799150447,9683.232866378832,6182.121684338545,8700.625830252313,3734.531545479161,1989.4796780471509,21396.138843056437,3209.531042391623,2535.7161041486097,5271.426996930251,7750.345750291737,2310.3891835291565,679.538625299405,6299.449109952422,15469.443496300973,17454.727074815593,2301.9609805045275,2213.401912124439,15042.7630470493,2324.01794215698,3426.756417374897,2176.067467797649,5969.491539107882,1450.551069667037,2258.325800044977,842.7865941552072,2805.8961065519975,3322.1760896521373,7429.45067220719,8901.162352057945,2916.3791371211314,18013.91763744006,26638.505471761197,3674.274841204703,1497.8895851397106,8843.207104773825,1993.0603343019516,5639.460002163455,1433.672454976632,14618.825886025006,22554.89599314365,7542.702574040852,8434.294486955152,3169.792374197862,2451.552938115471
1966-01-01,3597.39575652797,18308.144374637035,12646.28142669554,10661.199324683836,14208.098447298311,1976.213011232928,618.1297093959959,3064.6361466725816,932.6066472939954,1766.1852432637459,18823.274925209425,1460.7722368424857,6927.012135368206,1176.072473286528,6685.107655149066,4120.526755231942,5694.803630645486,6161.119575819852,2418.447248042968,17821.730990180997,2769.6429880924156,4544.812534056241,933.6651707510578,12795.355671654966,14740.08171840159,4489.477260174322,13661.814250253594,8409.615828695725,2767.4108546540588,18531.552740063977,1224.2200355787463,926.7348172486081,3286.109897363434,8554.678025323412,12635.046229312538,10158.30222259188,6349.10656781501,9497.346424145486,3652.6803361338607,2127.0296955085496,21351.570123336627,3284.105410263817,2808.074264315851,5418.4073857217145,7991.6854487992905,2180.8233100066886,683.9260507867268,6440.1168546716535,15849.52834425074,18193.950955486875,2212.470895258493,2153.614334686252,15512.944014445762,2308.316473201716,3613.4671484696137,2217.837332409487,6125.393186881094,1597.782090211992,2365.0049590633876,875.6545043616125,2817.336055748955,3657.8489412830218,7588.6246340321895,9536.867958032884,2929.3350742123885,18197.15843285454,27151.86570305069,3914.918956221819,1656.6501819698171,10156.132268376878,2033.5964938089264,6272.830551148483,1493.4530383965716,14886.77864792852,23765.60642379272,7813.901990870791,8145.274770599306,3872.238268823981,2275.946301859577
1967-01-01,3705.228203274349,18702.780342656806,12955.031087698882,11926.091211897228,14672.851602908418,2032.6769421488536,700.3276185183864,3221.9901228735457,1015.3342737305782,1559.4238695599115,19024.648322718545,1382.202283944966,7129.9396289369315,1179.5307476852374,6886.468985549977,4170.060164633063,5771.866967617532,6731.719787410884,2429.5126131715924,18680.014952160425,2745.681075914434,4749.300298614882,945.1301899279216,13004.024628833085,15365.425095193643,5051.381624534307,13499.323348226553,8781.827044700178,2790.4853466090335,17920.6340093643,1290.2696580980908,958.9456183943387,3510.1011966175524,9084.522843226692,12072.661450283094,10837.552074271936,6257.506413062162,10390.777426141238,3774.5923974497296,2138.1029052474896,21644.42113830954,3216.008254880065,2989.3601364596875,5405.914093017932,8148.403783324808,2193.730038459195,735.4395217330059,6041.313920202769,16671.145218363366,16761.650689673414,2190.9568883488732,1811.2053858464776,16535.96055669641,2411.6814961413497,3682.3491545570682,2217.2169673329413,6547.493404687035,1654.1252819299416,2606.917721220951,916.978549137614,2725.65384557336,4067.775981834108,7964.182671396009,9966.323157295596,2920.6655072725275,18679.4855721104,27896.418651810178,4289.65870892537,1672.2680472346012,10982.554627046002,1995.2633061307595,6391.996742867973,1524.0572117703323,15167.447935952954,24127.708210106248,7438.655853482409,8107.37523918532,4159.367042631266,2246.143208367384
1968-01-01,3757.5573769726443,19832.132265586133,13482.006887942363,12129.567652563219,15225.984791577404,1780.806000897569,810.5689057404809,3450.5646557958758,1030.7645345083172,1622.5085374253842,19595.312438954206,1353.8589280769256,7332.939418739245,1115.3386343788031,7190.2178596878075,4302.768240560694,5935.041438532785,6941.271161635277,2668.564116990754,19608.594177638788,2665.1012395017992,4844.643783160821,1020.8948318020628,13488.884889155932,15915.794012617995,5017.365057296768,14192.188952996452,9317.432590302216,2948.9710486681097,16110.85081056712,1322.7522981728582,1022.5782726192558,3747.788964891235,9675.817532112003,12285.199990690418,11462.762139329467,6082.0155897065715,11572.95410945294,3656.5516862451486,2063.5321619144706,22902.917544108193,3224.109816728398,3268.3033760129238,4462.291583881536,8557.503840907686,2283.484105969352,767.5011946563385,6061.022844724511,17897.304689709257,16432.03667678525,2186.093998181197,1762.6377270958203,17075.054717063693,2449.952353814818,3659.3960760907435,2302.554449446828,7637.916055153223,1805.9310027237896,2728.8039027525456,949.1521227820583,2570.566052317614,4588.563645649043,8114.761679751353,10541.176283571402,3112.033214502104,19250.840660111116,28727.270210483384,4656.661395894627,1731.0528917707754,11401.939367954265,2128.3029133152877,6680.625177944265,1585.1030070238344,15641.968485343708,25068.51029837776,7480.614846032435,8675.629413759701,4248.996691613332,2034.7106668357103
1969-01-01,4028.091088151645,20869.335917820456,14091.953780317774,13669.836806725903,16266.454834962191,1811.4905149559443,801.3916905217816,3429.410708671945,1033.460807643162,1713.8158231034695,20301.879816228055,1341.1512729855815,7718.590389828897,1192.7034084764314,7909.155159379446,4482.434390606701,6091.130884053648,7730.348476838251,2868.4471084027914,21000.18435270712,2859.8257875908785,4816.964903827607,1074.4031332054874,14941.246624808837,16926.752576230974,5271.872317018685,15231.488182491234,10368.080858566611,3050.2748703315265,16396.144221263006,1436.5194370995634,984.78426399951,3809.9872808626747,10182.605499880552,13787.07111282654,12126.599704259484,6251.1199047461805,12823.37486498671,3380.7840717040763,2122.342369961633,25986.6645682107,3457.8906715606836,3614.873844009812,4519.5742578199415,8636.786526791255,2480.349444344098,796.510644553062,6256.196619520585,18585.494592121366,18009.526919408672,1950.47208243632,2116.603595615309,17446.642733966222,2521.4934512352756,3760.8650739036666,2373.155834317857,7981.684296498341,2027.733676275661,2878.3313671576943,1022.5131960688745,2223.9265091351135,5184.852436032754,8480.884624597298,11432.652909255152,3180.5021909640564,20106.449816442,29828.358726163944,5007.973679016197,1851.8797791434688,11793.922014272497,2159.259786444912,6862.464405563323,1606.7450676468109,15898.453976300127,25626.912899659943,7935.28463913205,8763.312316498228,4784.587473829036,2478.5167012859165
