year,Argentina,Australia,Austria,Barbados,Belgium,Bolivia (Plurinational State of),Botswana,Brazil,Burkina Faso,Cameroon,Canada,Chad,Chile,China,"China, Hong Kong SAR",Colombia,Costa Rica,Cyprus,Côte d'Ivoire,Denmark,Dominican Republic,Ecuador,Egypt,Finland,France,Gabon,Germany,Greece,Guatemala,Iceland,India,Indonesia,Iran (Islamic Republic of),Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Luxembourg,Malaysia,Malta,Mauritius,Mexico,Morocco,Mozambique,Namibia,Netherlands,New Zealand,Niger,Nigeria,Norway,Paraguay,Peru,Philippines,Portugal,Republic of Korea,Romania,Rwanda,Senegal,Singapore,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad and Tobago,Tunisia,Turkey,U.R. of Tanzania: Mainland,United Kingdom,United States,Uruguay,Venezuela (Bolivarian Republic of),Zambia,Zimbabwe
1960-01-01,8743.62869974987,38897.68269977314,20845.03392980916,27793.57116307539,29447.03655899543,3539.6152306023946,1609.410681601564,7667.421889189419,1714.3347865791957,3378.812118674307,40566.42177998143,3628.9296314424855,18632.87817520926,2211.3622119359034,11193.208560869409,14699.51270439229,18703.132584530853,16852.870341102593,5443.586468692788,30036.174093692942,11371.380914432242,14640.556576622474,3037.498913577251,20107.60045117048,26181.92820472664,8250.034567660225,21767.201624637277,12078.109527780754,7780.142958161341,29922.912168497343,2858.201791945111,3395.440269116033,10343.076845787826,18108.034529029715,24786.103521520537,18691.994065023453,15785.244066436962,11496.060810841476,13682.739711149767,4298.898457002316,49013.82840793218,8864.437578327661,8651.865295030497,16553.579883898637,27136.052426853636,6222.811296209118,2011.0792296037555,17058.77375253358,30422.234412933863,34574.90997830136,4391.941203555781,5204.516585797639,28587.589902276854,5857.355270091935,8835.31604322522,6444.422788110702,12464.707942321538,4471.252120562051,2823.449047466637,2168.8262914804423,12500.19082665556,9325.481364491701,15402.499287274226,15509.096810893585,9649.558377206182,29891.893835906383,43292.959358105254,7934.509783320019,2776.7908117664224,25290.56292124931,5947.947230004122,13501.064407916247,2793.2482253533317,27882.220671349896,49172.26933526356,20526.67752339206,26788.92298086554,8786.801550957181,5520.68018421229
1961-01-01,9047.485768429406,39765.33661400565,21937.33477534621,28820.246125578513,30534.122341729282,3687.2439218054506,1713.0664715829216,8447.712613147582,1667.3373297712333,3465.2603746663017,41919.39317656849,3748.8484064181366,17825.42123232964,1949.6266112880294,11424.866524159697,15243.0276355502,17914.20178398608,18724.60991333523,5356.3052747376205,31429.114006730695,10661.976426418058,14981.916303609554,3299.4115013146056,21752.329528603383,27484.164076706173,8766.719552983599,22480.944329599974,13712.06844482953,7880.361721118787,31393.835043014267,2942.2269311366854,3391.8998168691223,10436.048604342757,19091.81428654051,27122.58834828089,20210.02058657461,16455.64159881821,12574.197442797453,15142.505228469516,4221.180865246624,48067.86537747896,8605.592666281302,8827.623757175654,18839.04416753774,27178.190130485313,8672.606933890112,2009.508568766727,16519.473308112927,31018.633896621708,35712.123449904524,4590.557508829368,5251.341940126355,30035.987761251454,6029.555869978019,9191.370137550239,6151.789170625034,13172.5931911263,4513.756057712854,3102.6688493545366,2074.4655248117397,12538.660016485377,9621.706357642577,15895.827060764845,16976.475355045488,9333.209409391267,31321.82318952264,44845.84353198689,8362.968848850893,2892.005379895525,29089.319749844708,6395.20783308362,13589.342965866232,2696.6325311580645,28324.664155876755,50401.723373566885,20601.139879303373,26585.78806765335,8365.96324735961,5687.472514318067
1962-01-01,8513.002067776595,41117.85792676032,22706.57901572451,30006.023274157964,31669.020226285822,3742.2223924536806,1835.7950943727806,8781.336847260363,1802.109570346125,3402.4942163271535,43457.72963625162,4221.2169949955205,21766.258017480235,2160.162968853396,12462.512487627257,15614.805582358116,18558.650497209797,22051.331858946127,5465.982654965331,32724.76436987514,12712.626826253994,15287.708838301598,3421.248832935717,22223.25728230488,29319.0343691887,9799.499033813683,23345.542105057226,13659.420772571264,8004.771589824452,31982.489194590948,3036.5580835364167,3645.4058668229904,10653.43382073992,19475.626103717324,27231.79028259843,21479.635185157946,16281.046358888569,13629.929896857346,15075.282293972217,4382.905131294653,46530.88529793881,8745.7164571485,8547.165306278053,19767.054499710677,27515.489319141885,8484.148534081385,2141.172085871709,18202.08338401021,32133.23147345602,36178.792463196056,4950.546015242067,5378.049182260563,30732.85439782493,6072.9545426588365,9839.64036067673,6292.969416407162,14219.544433987703,4399.085627683364,3395.000828774822,2290.746682952261,12191.51793260438,10143.159087902886,16485.553455719342,18514.755713843497,9772.911124025904,32289.399675612596,45435.0602838731,8802.663160341235,2942.362763301747,27820.7399952716,6419.965265152453,14436.321975998644,2928.8220131586654,28562.472118760932,52711.73138282555,20812.041836054996,27073.547786530755,7987.938935346347,5502.785441968546
1963-01-01,8342.602481256494,43376.503181472326,23904.170466591608,31573.184335548445,32497.404034753254,3934.287530958387,1927.8767772220674,9141.401944820853,1751.7568212211438,3607.5023449595988,44627.22686678217,3809.3541392113066,22696.59826305692,2418.1134706052108,14023.577051381062,15689.015800671179,19092.299580228202,22043.997061462,6193.185939936976,32986.226469383284,13055.932903757164,15233.513249224505,3611.5129627441156,22635.36157161582,30962.440297696674,11752.34923897494,23816.508729272755,15666.140546416507,8414.986436888803,35213.58070973237,3220.208420270348,3471.7464104647547,10792.811750989098,20263.484427716638,29002.23587939736,22998.750939436675,17922.53325547648,14660.33449311407,15149.242253223014,4379.3968478139805,47758.14473559245,8843.242384471854,8461.958152088462,24007.798092257388,29326.44313350773,9545.908453595792,2168.441849232296,19022.682543079296,33134.94118197805,38684.2156861564,5315.277667705049,5400.044705507633,31600.770445581504,6260.813333133443,10260.464349603973,6431.75719114879,15180.470435988085,4809.614718536163,3670.545550978396,2013.1698194887456,12167.954283923204,10957.716320425927,17514.861514566157,20163.931300380515,9210.433242152032,33713.79420970976,46937.59907121427,9599.911272457588,3053.0884985092343,31105.601165957436,6959.616170546383,15569.527403159886,3124.0749788295116,29587.941018608417,54233.813035094005,20031.41660742891,28054.69123515811,8261.037549787117,5488.651934654624
1964-01-01,8795.170002504474,43757.793105415534,25133.35264082117,30513.48360353242,34389.98165093775,4199.145447018986,2062.3334197931044,9394.462650321779,1849.100402452225,3703.1765418450523,46146.67060690869,3780.372071857019,22881.249560132193,2674.34939831102,14821.388533874802,16708.157383782902,19676.47447429928,19039.73665967783,7146.345030888064,35178.01940097953,13164.523287905307,16030.566565734835,4040.5687121727433,23807.196275223294,32752.12399262225,12869.279378032685,25565.11952084361,17037.417736719224,8630.406712651433,37739.33257417569,3426.3094046495708,3432.369122941747,10833.777660391877,21135.889811804664,30638.64180655782,23719.914731085973,18079.84489617795,16146.292745803412,16998.85139675678,4626.231073148111,50811.12393978693,9136.175223713502,8555.771032392211,24864.786174218138,32334.91571937162,10718.130193881505,2220.5617268593946,21294.015276301016,35048.85955622394,39601.81303822035,5107.821784080616,5182.845702253207,33680.60959050436,6349.877760945899,11049.957306822482,6188.64418229545,15653.14696459882,5125.461672425613,3891.3069674727826,1762.1417718926018,12221.919032698248,10335.505334927331,18489.783285896272,21116.799700596683,9371.76755592291,35464.2892129309,49094.04551084654,10851.515350723663,3249.725396424444,31435.560140628397,6943.748805582115,16044.63301727881,3517.045749567644,30996.959006294925,56139.423808100044,20737.964244370934,30103.747810146408,9440.707811900269,5205.648870249835
1965-01-01,10013.698148675985,43154.46219341736,26171.229776435426,30609.332216525014,35699.99264459199,4589.900150533774,1903.8414468226918,9810.178945513839,1845.4048421949942,3828.7580793858892,47260.45433341083,3908.7334131371244,22670.636067418185,2897.994574180719,16745.728574774053,16244.309651247011,20489.09632518169,24034.799315177803,6176.112110195453,36208.02066300475,11108.092279581375,16138.326133322313,4139.564040873493,25151.848523404835,34197.62680394269,14374.149818043144,26740.99390758946,19019.24963811093,8710.071042473635,40282.80662332994,3336.715365746598,3338.974347993678,11836.192310046015,21481.43704052342,30169.90138121447,24997.174287901704,18084.847682372358,16935.34714196929,18169.227370739907,4679.781399649544,51415.127689513625,9734.375813185059,8961.384924317199,21680.82939205404,33128.742736568856,10393.67734426222,2213.6051333159035,21870.561265717264,37420.01433239474,40566.6256814825,5207.140256360445,5507.611272362617,35378.40574375588,6584.131575551613,11345.882783881796,6658.306000288073,16714.638315797136,5104.63817046859,4269.373860109705,1827.9636085825168,11804.520976554237,10931.125039200584,19117.108919992297,22161.77941383097,9444.658547607083,36635.4363766381,50955.523428063076,11836.428602024955,3517.4990883856103,26956.36110352256,7104.161581829316,16291.660394840048,3424.8453205122055,31557.536090678645,58523.51705563775,20346.950041653206,29902.551275756145,9902.442650286905,5583.721378024644
1966-01-01,9837.696475228457,44426.62591956752,27717.364712341758,31964.637813865436,36693.380499750885,4785.399997177565,2000.3482426699954,9964.473856463179,1866.0344423900342,3966.3914419495704,48708.14603996219,3660.1888909332392,24639.375626656838,2895.5631393403555,17207.455605691925,16466.491895687803,21141.066782599177,25381.821437233382,6659.461118980354,36752.275369881085,11559.137553105846,16279.984566249917,4106.52543247443,25786.83025806138,35757.292637781866,12862.85807720703,27595.738570173533,20779.347943509147,8941.456965124313,42303.64457862128,3291.936768639704,3114.385372893157,12562.160993140566,22106.196581640143,32374.56715852217,26835.465824274208,18689.89787249772,18280.937372749926,17818.41928892709,5029.416103717043,51415.954471599856,9964.889842714887,9811.349878125076,22526.50704644372,34161.67737165071,10799.085049380288,2235.39746839854,22228.87353638617,38547.52455710781,41514.50085953344,5016.5176761695,5400.512320761833,36634.797368117004,6541.32745161794,12089.255841330625,6575.845373010594,17198.915713573388,5618.422810455309,4491.593714590012,1909.4083984369995,11878.092309575244,11967.422069511038,19883.020773245717,23789.590920670787,9517.874619557972,37309.634640507924,52602.38654849575,12649.23212211434,3916.8016603918104,31749.563355502178,7307.863696623778,18316.853802296766,3585.3715638634044,32116.792870761135,60535.068357217126,21131.813206097817,29142.55656610514,12131.81380961714,5210.278939326757
1967-01-01,10152.658836269951,44827.62551748947,29081.138602665516,35757.06534854481,38255.29170616969,4969.826434049185,2308.0762964460314,10503.590379047064,2049.019068642761,3527.455592018447,49228.94243544483,3468.9524365187976,25450.510114829365,2851.283832972589,17590.2227716604,16578.610529329617,21357.70070181351,27634.140265141497,6720.394809258355,38851.6653791887,11356.260037401522,17107.85826697591,4364.1613802521715,26843.145039096602,37463.116839685055,14506.368041264921,27984.842626800004,22224.271119377412,8979.766024911869,41719.68654362412,3516.7138939567612,3229.84483443592,13504.934664365555,23731.138120184605,30858.200716170617,28459.14530383959,18536.5856381164,19826.109735084534,18462.385685186302,5082.090293304823,52872.07394122848,9762.51154936227,10327.612703855735,22720.433776341004,34846.863539420934,10459.82822156106,2411.8878228768576,20725.763265249774,41135.04796922291,37712.823770421455,4979.485764101413,4834.615375593877,39153.78594931807,6836.001269658553,12445.793746749358,6457.051804474082,18485.95333235207,5747.454584700778,4981.5981758048265,2010.2670288268616,11516.275281487182,13233.612538873307,21193.534435512836,24998.813980605144,9521.07868085669,39009.12863798789,54360.143361604365,13523.093045595968,3981.462918077993,33466.69673721562,7229.163862530319,19048.615932473484,3683.180345825485,33389.57067775808,60731.148572045255,20167.987774586134,29247.768840623277,13066.814038367453,5168.497762389014
1968-01-01,10316.033167818023,47298.146633535194,30826.278001942108,36367.13320540043,39879.61318995095,4397.17676538292,2667.0528365236746,11267.261326529384,2098.1874111203624,3698.7394191949816,51439.100784543196,3403.3538926467995,26229.83430201034,2652.790596849702,18226.728562276105,17000.438342460413,21861.513396476283,28393.65484413361,7415.415177881367,40713.652217253235,10924.90209266428,17548.74267801554,4699.567543960722,28339.35693165454,39199.20147555765,14442.201347535196,29487.58188320107,23932.753085423366,9455.326798347322,37651.73301289624,3654.9563203097823,3451.8915044124037,14512.98044997889,25312.189313247047,31325.12029865886,30299.05624916762,18131.233548678476,21964.35229350957,17932.995242453926,4930.678886969448,56295.94822793898,9791.366135984923,11166.069483735098,18961.93662906135,36627.12023583888,9613.179567237075,2525.5660456744563,20661.69824623193,44198.33590049718,37353.7604294565,4980.211850381502,4783.365364356564,40744.06264482369,6946.266352388261,12493.23613008332,6938.193975101245,21727.46648192986,6112.4251397516455,5325.135093256377,2092.047195616083,10884.422505974713,14844.259267108573,21903.630233324973,26564.503735711867,10178.56811740958,40003.158675656414,56276.32734126583,14410.235591676932,4149.365903239491,35429.12272274582,7775.224238497249,20267.368101496715,3799.942083897693,34804.22904008781,62487.98893098708,20333.277521604607,31552.0260121756,13466.24105441749,4706.184550774669
1969-01-01,11084.255427327493,49529.28498150312,32392.203746779753,40985.199574651204,41989.942131273,4518.3574058863915,2596.0277784605496,11205.712328876887,2122.0679589227775,3939.479827396569,52414.36329743503,3376.910342153727,27712.42735019277,2785.193812211738,19898.192743612097,17578.9843207637,22298.716381734775,31510.04571126799,8007.482078011652,42981.71872999853,11619.739721725851,17544.471504597037,4927.544700584897,30905.35611346265,41421.575096101165,15210.171603031591,31477.41020397495,26809.933870730765,9746.25478064058,38314.81750364378,4024.9608757199003,3331.7834354374804,14850.187190359498,26682.468505129622,35069.38409959101,32486.74111397292,18754.54935344792,24440.949472769047,16625.12876873252,5098.0563250165105,63298.85317118463,10505.915304899112,12214.640909972337,19420.157193530704,37012.36785135941,11415.91922250274,2629.939678103831,21188.087407587365,43444.54359930909,41220.848358030526,4453.992444954906,5617.300189081425,41613.062844789354,7150.943627177319,12968.991459343786,7521.36185658996,22802.744910810325,6850.907204019735,5691.685359127287,2265.991808934368,9437.008727117129,16679.84929674093,23310.162446521143,28824.839141879755,10437.129850621148,41299.39778246659,58232.77834371107,15472.34790257314,4467.319155981544,35508.68290996808,7954.373387204472,21256.657591670584,3833.149011515542,35510.304748877985,63003.201019357686,21624.069706833103,32143.290562705643,15552.718919877669,5762.476023303799
