year,Argentina,Australia,Austria,Belgium,Bolivia (Plurinational State of),Brazil,Burkina Faso,Canada,Chile,China,Colombia,Costa Rica,Cyprus,Denmark,Dominican Republic,Ecuador,Egypt,Finland,France,Germany,Greece,Guatemala,Iceland,India,Iran (Islamic Republic of),Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Luxembourg,Malaysia,Malta,Mauritius,Mexico,Morocco,Netherlands,New Zealand,Nigeria,Norway,Paraguay,Peru,Philippines,Portugal,Republic of Korea,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad and Tobago,Turkey,United Kingdom,United States,Uruguay,Venezuela (Bolivarian Republic of),Zambia,Zimbabwe
1960-01-01,5040.959776698034,62621.97974202914,24228.700703762723,52006.21848525875,4129.940137985729,5424.841037222707,474.4355379823368,46483.371152266474,10102.452927046905,1053.8561455188442,20567.039853573642,7439.455368695517,34877.27901419823,46871.607142957706,5391.433768009639,11744.058772099635,241.62438283040098,44088.493978371924,50144.706749353216,46044.78534062998,29456.870631788926,3470.553903751589,59807.88243281589,2504.328651243086,9836.163036178823,14325.230560773176,35041.059441017795,31398.209983879085,22414.929280192744,14521.49766036027,2927.097282865431,3863.614008044887,68298.70788896305,10854.880129429243,4622.104606468997,4747.0653143941245,15395.818582861219,1780.2454177324998,56316.111954299144,32191.452654813704,7990.60125050144,54802.030722021176,3088.0622862678388,4181.934022783448,5324.858612755709,10438.595503545117,8267.011133865099,13050.844688279009,17802.29681938321,3328.751528633372,47702.43045836551,79493.51231068169,3101.417578804438,2535.064770039688,10204.823679185503,10238.579639890364,40457.0384894346,79597.47571922721,13281.972978116892,22993.735229805003,4891.833818234831,3687.7735211232516
1961-01-01,5339.1392271608,62668.31023664909,25440.945047394984,53554.28507545188,4141.0065451204455,5591.28827782268,476.45605969614934,47313.13264612974,10395.38743570657,1076.9312932187242,21196.405710836396,7514.207622732225,35393.310425010386,49080.48939454151,4526.909874958938,12040.0088436841,247.15070978641768,46910.011667890525,51925.35161555595,49481.791359641276,30339.46071755319,3460.2870644393274,61670.625459861825,2637.671284967554,10235.041170020217,14979.854649789846,36302.08531505619,33385.17282436425,22589.21331914075,16082.941201648197,3060.2226467630135,3769.3167796919925,71222.08413289298,11000.63437186914,4837.5513809074755,4855.178951252241,15700.52986264177,1743.4494312080394,58633.664611252934,32979.70772622584,8431.870766685846,56213.923145045745,3169.501796874914,4241.875546188455,5428.939742921845,11334.069720683101,7949.731394887925,13211.706819801995,18728.052282498968,3367.5482125064236,49730.89809757007,81813.40125900428,3204.125892931208,2606.2013569275914,10681.158590501296,10581.409805743957,42097.729853523626,80913.19649341163,13791.776727453356,22629.461866609374,4830.305193940953,3527.4902176113605
1962-01-01,5532.49748700948,63812.115252340016,26404.708814289024,55192.201186731334,4334.407110769556,5758.667313389479,481.73994079346187,48516.74595648361,10484.572972042142,1053.2874444481295,21698.154892313476,7659.990721253147,37494.46331096663,51552.03029662645,5198.457442641968,12295.20323450833,255.90231038909317,49494.27408187716,53672.28211019781,52879.73761172467,31148.402839260834,3453.502935949247,62919.02498768156,2760.8022019337404,10784.267636163615,15639.324231154065,37517.75018251158,35576.14376128347,22698.401845523586,17682.210473979314,3186.2389486071324,3685.587807648907,74326.23215725225,11318.187955548512,5079.651227607162,4891.864532467606,16227.07224702,1741.7340824947498,61023.5954475182,33556.53946327061,8800.25224027492,57381.91523860206,3178.2662341319597,4330.399306831932,5508.7111479942105,12109.089613346865,7823.4814948134235,13277.520546023085,20010.94261890877,3408.8796612481024,51721.214817221226,83942.18832262323,3309.089720261895,2743.6122300388843,11172.901052013662,10954.12614279733,43377.06001973116,82583.79441831727,14420.038170626241,22401.554377351185,4775.773200706609,3356.144325681793
1963-01-01,5619.955551241315,65380.33543921649,27307.843713370068,56639.20614302317,4463.708368351298,5842.174002792673,484.6200444926083,49806.51951658839,10578.6898618865,1034.4596664702897,21857.25017116487,7787.404062949417,38658.990077017064,53309.56360789735,5340.300348588866,12503.598119381099,269.2425820546315,51422.07348834919,55881.521160421464,55952.7366394005,32581.01493572322,3523.14643641493,65616.73291791278,2885.5952515222207,11379.285244353428,16375.55911154893,38574.545924197315,37806.04558409645,22562.97610018816,19399.786428279367,3293.4496100134206,3637.783179552019,77276.35111622939,11623.596017704831,5328.5051865046,4998.136156381927,16906.05320483764,1760.036477821186,63270.347122547486,34384.36516814759,9206.821496013843,58532.16195246421,3204.8186039211855,4377.617425393689,5673.407502923697,12957.461731608118,7812.108673766237,13586.538906023528,21402.301449612416,3469.9788495308953,53722.978578909344,86242.32356843438,3465.615034465356,2935.764224706003,11507.682807100311,11429.059114308857,44852.242007782515,84512.72127471723,14483.72361521262,22168.143190992698,4671.514498562641,3193.7305821415384
1964-01-01,5811.424724014941,67585.65996850625,28636.009803703357,58704.560845316875,4607.45407811277,5956.159604552898,487.72943501034393,51302.52313870007,11170.185824079914,1035.4111606676313,22449.085695399597,7806.517257421132,39032.1616543536,56175.22310321124,5526.938640768484,12699.027575968024,282.80803456088324,53655.19868976345,58611.117044796076,59571.74817678776,34416.573591616325,3638.6811230820417,69684.42188612175,3058.451311101451,12332.723477383797,17248.58632867932,40413.635584057,39575.09345140388,22529.139341304286,21392.134584358664,3476.970423474351,3551.542612184345,80845.1023837907,11907.970440973515,5724.537065129856,4939.731063346658,17631.708405126406,1755.0281391299836,66414.98956857565,35601.56184723486,9739.596725027452,59702.9021769416,3197.2569632097293,4418.865838146611,5866.092512507834,13862.09535308114,7707.311910319364,14021.081108590462,22860.786058397247,3513.222807592662,56054.24200097703,89311.64220081488,3629.2529237523195,3105.774967421339,11765.841718825886,11874.728701258804,47254.75470307143,86721.15049965282,15223.806771345515,22391.549243668036,4533.1928612015345,3054.8199490273105
1965-01-01,5993.260378288408,69077.07881738551,29705.448553881295,60562.59802457189,4690.119861541096,6105.387210819522,500.0090681545199,53554.718883149864,11589.769583935717,1062.9775354165197,22530.215498217516,8006.4208647589185,40195.41604980551,59236.84548005326,4789.664233617994,12845.1956554416,299.42431272077863,56890.62993241029,61269.30097977395,63329.13387918189,36716.56505507526,3776.8239566699494,74003.45270851592,3211.6185844707643,13431.518495530345,18262.836367460684,42035.682805890574,40924.25611553517,22593.34105885326,23308.84980817775,3661.0460955490503,3475.415292626082,83601.82496178323,12207.825730622082,6067.70256066752,4979.951231236945,18628.909717333237,1756.7733623767192,69447.7025331804,37358.46487783478,10556.339762916396,61451.61309951387,3296.887143828236,4481.995468064995,6045.9582238810335,14993.08779773091,7673.459450353265,14573.972537676545,24505.708467313267,3521.209794399434,58563.91857318871,92271.36494299256,3866.976022575535,3287.534349599783,12273.606608178048,12250.510392441192,49484.35550145741,89310.70583350048,15173.338141206774,22552.715340773713,4584.090850467876,2921.2644212941223
1966-01-01,6139.41072017869,70657.59451147774,31246.10819190794,62843.87430899183,4772.318590460954,6270.542595691142,511.3968270776604,55949.902575582244,12476.550516062456,1109.498354077972,22618.152525350248,8179.660461644904,41445.59180564949,61894.269615722435,5317.8903550460145,13087.469690596876,307.019660450502,59770.67246933392,64161.820333720294,66704.53197260636,38997.271140453624,3847.3242170934723,78657.10066774803,3378.0594005544594,14712.903681225382,19025.644297983963,43694.77624353415,42427.51587027051,22707.278997735015,25461.650330401135,3800.8053615086865,3481.02235416399,85625.3768282245,12556.447142242208,6428.572261581882,4850.931616807382,19503.818323603165,1746.236300522932,72826.49980740529,39197.15190459334,11218.851986334117,63250.95557783686,3408.0158446079286,4607.913296599665,6201.60586885418,16143.17802464281,7942.4824241558445,14914.216971400692,26330.340333108194,3558.779398789087,60577.826461180055,94842.6506027906,4182.70143917429,3570.9484006443795,12526.595858495679,13003.873658531891,51497.993726725304,92156.83940130277,15569.30350959901,22469.220753972113,4658.106682172026,2806.1184304940552
1967-01-01,6289.082115044505,72535.55879888104,32578.28571230663,65078.639398685715,4801.378354134935,6369.231762141159,519.5040570498032,57567.890879905324,12942.672277659505,1118.444414426876,23015.466892029894,8371.650378903565,43031.210707425555,64613.897002883896,5178.216219569177,13527.205090801877,311.0987489201827,62098.426848120216,67183.99073866889,69158.9119199562,40693.008237192545,3978.611957923981,83983.43541449119,3521.4691514339384,16021.017685857269,19783.566613252053,44530.848225494294,44325.28611867058,22919.806706995376,28170.970485288533,3580.2126575944894,3522.1087282635617,86676.0685172234,12907.965303739611,6875.306095514413,4880.769225852018,20427.658132537254,1781.3945430766719,76541.75041094917,40072.052354118845,11591.697660497925,65587.13059725658,3559.7339401905897,4696.191120311321,6380.981784378365,17216.972910715485,8216.48690612725,15489.245082089572,27963.18327733227,3611.923553641579,62625.43016010921,97689.2008505598,4602.846936177438,3856.75569075194,12554.944147894645,13709.049883091713,53772.6516178306,94762.2905081583,15520.921063338003,22433.218424754774,4761.668323447953,2707.5769424527202
1968-01-01,6468.959254508426,74579.05074787192,33936.47467960955,67309.20913827195,4829.239841748064,6564.198807199635,527.7500171246347,59423.04987069263,13593.939252139371,1123.348994066379,23604.747044822827,8511.335836353026,44526.58495545964,67676.69528873566,5138.909551742828,13898.102739992077,313.15907747503405,64455.89131746063,70523.81902317278,72169.53905493229,43033.64488195997,4195.873251780132,87658.53655068637,3619.8907752265304,17811.387136905643,20856.49825359959,44625.709462107254,46343.670967488826,23538.55375398986,31488.121752400315,3592.0679583868528,3605.818480982461,87716.565225306,13265.236675077245,7495.627868649488,4822.526036675649,21721.34776554873,1806.9249366887518,80844.01020782115,40463.52012417246,11801.05366713703,67207.13348682926,3666.4607869072356,4646.343457704681,6526.517080806224,18287.149460882465,8695.225488775171,15877.41661695279,29781.131895472587,3700.627677633151,64702.37281172308,100257.38939005905,5097.564916049608,4162.150511142658,12799.030048557177,14488.187165357955,56372.63844634253,97481.39357423894,15600.168848614887,22823.486185235204,4854.12332857378,2623.7448338594886
1969-01-01,6759.870064999177,76999.10423853117,35629.081430433325,70066.79133898475,4851.774955857787,6986.146230105476,541.7317392746927,61682.17672133071,14266.61035657855,1136.4046064452439,24107.570150634197,8757.46799121043,46773.67005162045,71577.15572796571,5397.749228862201,14076.517998590554,321.70974861976913,67637.22265945766,74123.14953772604,75945.5189084825,46468.397741714325,4272.577423787167,89273.37131084727,3731.8979434655134,19395.620316088494,22356.620717750182,45760.05788545999,48787.208032922004,24330.14065421806,35348.22884086714,3999.375193369811,3688.2654949620687,89622.24964201386,13531.050163832902,8167.225752721927,4836.682309837808,22482.09637617731,1833.2646738694652,84695.44623640273,41530.91607079497,12111.282892548288,68174.6834084776,3781.590475429888,4613.672108634265,6663.0495647315975,19385.815707497535,9140.194814427876,16399.050960455625,32045.759010266338,3842.0146662970706,66975.78364263209,102570.17439216976,5552.349897831998,4534.813504153949,12865.343175023449,15209.296657971026,58760.092440840184,100126.88993451028,15968.830078251827,23168.796556701483,4817.515392638318,2536.1796707368194
1970-01-01,7076.555252408015,79207.7156990281,37778.169374337354,73335.04720634373,4902.862939294881,7430.750458413976,557.4592161970406,63793.812726539305,15108.264067015743,1200.4254943292183,24812.209599924394,9105.010092933613,48783.20062318902,75466.93748084914,5722.220198562355,14345.380449736513,332.0024741878985,72919.59132254466,77912.63930696907,80591.99740488431,50256.600309502865,4440.758655669758,91824.17132299708,3838.638211129069,20320.8239107247,23606.846614537582,47342.70896231327,52875.6075252496,25236.286178945666,40072.32930691558,4164.533799002279,3912.995918357505,93285.29991050085,14136.609529262465,8812.224041768708,4771.34201475438,23337.680640289716,1922.3294183685437,89215.2522896001,42604.79653344271,13460.782021853254,70662.08985413023,3886.6138867388518,4557.83930459857,6701.516473457945,21206.891793641218,9590.00913818223,17165.489128661753,34100.96016825057,4019.866488690298,69936.91026697237,106810.09110607767,6040.195720253743,5018.908449193993,13566.202623868156,16319.065914182474,61199.13495387807,102042.29428998509,16420.783988802734,24152.617301807688,5015.5959975635715,2501.8568801149227
