year,Argentina,Australia,Austria,Belgium,Bolivia (Plurinational State of),Brazil,Burkina Faso,Canada,Chile,China,Colombia,Costa Rica,Cyprus,Denmark,Dominican Republic,Ecuador,Egypt,Finland,France,Germany,Greece,Guatemala,Iceland,India,Iran (Islamic Republic of),Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Luxembourg,Malaysia,Malta,Mauritius,Mexico,Morocco,Netherlands,New Zealand,Nigeria,Norway,Paraguay,Peru,Philippines,Portugal,Republic of Korea,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad and Tobago,Turkey,United Kingdom,United States,Uruguay,Venezuela (Bolivarian Republic of),Zambia,Zimbabwe
1960-01-01,2590.7408407913376,10678.608631423745,8351.465491918252,8100.819538910753,1301.420254159622,1839.7460352741375,913.9951119159051,11779.502382005481,5462.835258037906,810.803492174727,3203.019067002014,5207.486953978733,2546.3975507489527,10161.396162954377,1882.7166111987835,3044.9517902962175,658.7421571590868,5985.033680757816,7648.613611608024,6875.613105970227,3954.705928778337,2317.397589721912,7741.353833072035,1063.495056374617,2667.4224025072467,6648.534353523886,6877.879875255982,5596.220223672573,3846.2893670153003,4231.5567075278595,3276.844904439804,1625.4809349919685,12036.70950678192,2222.0166008092992,1912.6480427683427,3939.9704673654683,5627.384116218867,1286.618344452573,8297.44277359984,11467.433349297145,646.610284158623,8544.758739885603,1777.8067897243866,2484.394390566939,1627.8664371010389,3869.778475020016,1268.4172750594823,4646.670842651352,5210.747463053898,2850.1310448129434,10175.148836013068,14607.37729463206,2166.9131490208065,970.417044296305,7051.7715363937505,3702.5000005120255,11078.87529137912,14486.106199508988,7348.451574942089,4727.053618703385,2134.6130475167583,1909.8800983366393
1961-01-01,2721.5287052328836,10853.788858131315,8808.085463988282,8306.947729708643,1398.5642617106116,2086.7292841562585,881.0245238219745,12061.149017962194,5655.057102343193,679.6596948994703,3354.793096900528,4934.592477797462,2677.6865454425892,10964.702065093115,1843.9635252990454,3177.5153602600303,694.3769509211534,6457.981129650076,8113.814576657662,7337.58385135435,4233.34183987445,2373.900612408463,7714.094202212003,1091.8789096119742,2624.8878998794285,6987.755699142603,7617.080117438046,6025.1544318171,4007.0170248911436,4632.6086455794875,3519.669486126237,1623.478767968006,12659.57641108157,2333.5891980115757,1988.7234671493288,3873.362686722243,5586.659093000414,1695.3581842036501,8728.008131351597,11663.002855331799,603.7136343134886,9102.341170653863,1877.1816318104186,2652.3556014129704,1682.0405057416333,4226.756319112728,1280.177494333973,4706.5100836277015,5783.182274572391,2668.216917267391,10770.95659177995,15477.098251934523,2312.8817863111763,1001.4973167721928,7973.301798083916,3701.991352505485,11243.764923360843,14757.89185027471,7189.28153930589,4617.8421422272695,2126.2842070112397,1962.3302039730809
1962-01-01,2716.5102452733104,11295.988330232996,9076.177236755631,8708.101708185492,1324.1317579976403,2156.6434855032358,946.3308540723817,12436.477908645624,5797.0537275742845,720.3597421742378,3504.8104010338916,5059.300047047807,2908.892245773384,11598.474170271234,2452.5285652538146,3288.181322014547,731.2157494247025,6855.301051781004,8545.691085921437,7773.576422037598,4415.5625037137515,2395.564858876267,8398.430696129324,1108.8669677690766,2617.9927991858663,7195.308728626073,8097.927930701162,6399.019560402051,4033.3507726806192,4955.587171891364,3500.006496602636,1700.2885397971293,13065.940727599453,2395.1254916008074,2026.4100317269592,4302.805381429366,5662.222355012196,1866.8210058882362,9163.891106286672,11867.46242331681,600.2301511763426,9383.364084912178,2004.0521886916754,2830.1403011370126,1729.9623197876706,4458.3862452122075,1293.1590145308755,4831.0134652982615,6252.593940983192,2838.78315131333,11180.921318990862,16126.627135146215,2440.731078988016,1041.5360093514762,7816.510738770644,3895.1863571874,11482.640427014318,15373.415355824467,7487.56585512629,4525.1093582715175,2147.321549750004,1930.099720069005
1963-01-01,2580.4712638654696,11800.773878099697,9459.231316373562,9113.548527121775,1410.1506536851812,2277.6745191485998,905.2158212574783,12649.228792538359,5826.26966845924,791.9933247522097,3542.8465771048923,5252.367588418634,3085.2230085201777,11619.115437582239,2687.514792935466,3235.5300054198487,777.100431267274,7112.17844528377,8957.860573635364,7941.032441702202,4610.576609289396,2438.5994265053887,9068.453982803576,1148.9108211007972,2561.82122060363,7395.54449876044,8578.852936122064,6833.579431587181,4401.892945154008,5301.302737688229,3705.4228517543456,1645.3567153526005,13414.68107221563,2426.3290483067144,2052.612312847953,4193.55345910323,5892.212614079514,2097.6450944210414,9684.574498298927,12253.405624773706,621.0800055086798,9654.179468472605,2022.2459821077873,2986.370072106728,1767.7780190567698,4626.3674418123965,1262.8532568371907,4949.850418992876,6839.615043363844,2626.554211155243,11682.568505158231,16491.26017235387,2509.421101988922,1076.1629105450431,8743.651894009203,4148.728143691692,11797.727085561606,15642.900317914151,7066.227249710282,4708.0831531038775,2179.6966834236073,1895.8481228112778
1964-01-01,2710.773621081755,12154.552184481121,9681.026046495273,9270.606931290997,1411.3318672441221,2286.3648320025504,932.8430132829611,13041.379678474537,5682.736812868697,873.8843528784976,3730.145599192787,5411.300029999768,2821.22519240684,12245.694062664472,2814.9437270485337,3419.0494907274583,844.1028474105432,7384.465319533624,9307.723295019698,8213.238046099952,5035.26119384628,2480.1524273579143,9669.65097664034,1199.2120882536951,2432.921350610421,7621.877109652529,8914.082514181593,7009.296833307203,4554.727997407007,5684.040094196095,3729.50608561955,1728.3152694085202,14228.713241562189,2522.830685075625,2102.580500469683,5480.948208007663,6394.823716695809,2134.1336431446675,10020.875187746095,12456.277450194382,635.164573812412,9968.098658154242,2105.76877855321,3101.954915882276,1779.1793563560916,4575.290770965492,1376.2908610719924,5190.188533483193,7014.568832712767,2687.883420072953,12004.725161174814,16860.40205365286,2707.435130635768,1106.6899106247336,9091.782171802095,4099.819727254316,11996.587531206793,16176.955897882423,7360.391923050633,4853.799358235354,2338.6701484174077,1799.2146129339271
1965-01-01,3021.8653170428074,12370.550054952786,10060.28222906124,9636.734985935478,1603.3554500850157,2374.9376469814733,876.4039030813394,13553.518045231775,5663.516298505088,938.317399757697,3565.7112569298088,5872.513547866754,3136.7652960548694,12535.149217079153,2388.856139804066,3433.8917688654765,870.0945992525997,7775.43187085123,9619.104218992537,8694.03685000886,5388.026240259693,2512.374732657498,10220.80929913083,1142.735366980257,2532.960567640713,7688.385908068702,8488.872862092543,7206.7277392619535,4360.044658247551,5928.050327246999,3999.415428297126,1781.289587499899,14495.13214765989,2611.3394827574302,2196.732167624822,4633.595931275555,6402.307549260601,2034.2938942906542,10565.802124853315,12986.74404874437,585.6982578530888,10331.836045086357,2059.6002959277635,3245.164175324195,1805.6075734136518,4767.6939603815335,1413.060287558226,5270.154572442521,7366.914921455669,2613.2792860967274,12449.51182455538,17290.878323348174,2887.3766390744527,1155.7910331500198,8630.973163389346,4120.035091728359,12151.172517200086,16941.979117145183,6915.516605124433,5076.690880983161,2368.7397133990335,1862.6940801777716
1966-01-01,2942.8125573049256,12734.424821767878,10449.0039890425,9916.929026624193,1650.1488414120674,2410.108462572685,873.469793824589,14070.870395946997,6188.728807461625,943.1006893869888,3766.203024291759,5866.719042115425,3406.3914061600894,13052.24338507192,2615.9255275235323,3425.985995706856,858.2279223741488,8002.875581886598,10016.410811406555,8924.382153085575,5727.365207417372,2558.324031179226,11316.24209868663,1114.9574118783385,2678.556398496785,7777.261790351523,9171.151792347733,7640.035502298479,4154.209991297317,6404.479955232946,4192.278862854339,1854.5023321164954,14661.820423629177,2691.5768558228424,2332.9088564272743,4805.006096632318,6529.360656436577,1969.5851010700762,10771.1243399963,13528.41903345547,526.691771639125,10647.334625456579,2106.1848346875668,3383.9581292018643,1826.8486813188235,4870.268851805365,1464.518322812782,5373.975412565018,7780.934635961387,2783.765030859785,12734.67012037352,17633.927715777227,3005.3445554826017,1220.7645425826645,8720.921173855444,4389.9491211435625,12400.857269178452,17809.531195780837,7318.167002075525,5222.039327444156,2790.3380437622086,1785.0684073110356
1967-01-01,3014.2691517974226,13296.495842267714,10810.217553056827,10288.828813962873,1707.3719965471328,2570.3354035129696,984.8875898995562,14527.073606738215,6281.018718987448,938.9048323271472,3682.9888867349837,5991.347464972832,3800.5698361742075,13906.775426464266,2500.7544946597077,3556.0012772529813,915.6018543221494,8228.750116480118,10507.515867987235,9073.70554607113,6114.8137242421535,2650.4771493688413,11488.714496393008,1194.0083375786753,2895.0071275335495,8096.665460260195,9537.764681422512,8155.7775139079995,4145.980744156327,6933.725916088871,3956.9727001507363,1906.6870298799663,14569.35230977127,2667.4187234001474,2550.9098143652154,4945.054583690748,6762.677175814902,1994.5940527014864,11259.03188216921,12911.481447034943,457.173873233547,11195.632787174252,2211.264499267065,3546.5681911124007,1891.9680812817649,5250.554893107102,1509.3988943339573,5515.626331550554,8171.261875534972,2755.1115434286485,13115.674723372713,18035.643577353745,3255.8934616880533,1287.3000484955332,9485.543665840962,4482.000269730665,12769.555791696463,18446.55495547293,7151.576485332493,5265.601918079693,3247.2014870953344,1754.6752004846153
1968-01-01,3101.1752981673303,13742.213019014249,11200.067165281574,10814.519602401791,1510.578269104884,2769.3370627320937,1009.4473709260164,14984.747033098633,6433.430479888728,889.9104979933345,3808.1004955434837,6142.305963757171,4064.226371602339,14498.977536606886,2484.69942863991,3714.3642217296574,974.2967545404666,8338.07878948646,10897.820217374549,9401.421651446088,6523.401499241131,2706.5625134488528,10955.72307641646,1235.4412666381752,2908.7115238503607,8795.883808223694,10908.781769183142,8560.44146697245,3975.176637774621,7406.54101763751,3870.659285902501,1758.7238275426892,15311.83302443953,2644.8878877078755,2846.1669499163536,4016.7969187592716,7003.013792178505,2117.117650733586,11857.696313115044,13026.590407481792,471.14537673962343,11575.377187397724,2311.4844870431957,3530.879913099001,1937.9761842957626,6466.183449266159,1591.1713310020666,5770.28191613918,8517.613270907575,2942.914822392576,13721.398456537274,18552.435007506905,3537.149666048814,1366.2661280116215,9668.374800384956,4709.345038064602,13045.701285850988,19347.45593798821,7174.543006186727,5528.771591344634,3317.5285475298624,1556.436213715459
1969-01-01,3254.2919997813005,14245.501187359598,11402.073118406584,11361.35517796222,1526.014951987086,2613.1935649374796,1012.7108659012791,15427.828266655306,6646.947361619594,950.1141208873421,3979.5102854942693,6214.864526901225,4329.777775739818,15288.69574614329,2570.7956951102237,3794.733355614926,1034.7526071137804,9069.90404004793,11454.34366637535,10000.180059162627,6899.58655054934,2816.574727547344,10427.958459023723,1331.5792547962892,3087.7183588043217,9173.157575987234,11870.087922629173,8965.710085720724,4075.2049110575126,7947.034593748696,3767.22321015499,1784.5016715880213,16098.198098498406,2719.617462172335,3249.4953815230706,3783.7289500495626,7191.4777142191015,2266.1748719610787,12572.18370403836,13634.897986352104,567.0033310606407,12253.58047771997,2357.769300398482,3557.690277240927,1952.909313199372,6735.637767320215,1824.5344359991643,5966.291176155281,8994.893656171387,3104.5034020322805,14231.460581594212,19193.861799859857,3723.843826871223,1407.3057396238526,10769.46402707131,4829.969948035172,12971.790196428985,19742.28129794065,7548.917412488548,5785.3542606102255,2973.8223064289505,1891.147277052337
