year,Argentina,Australia,Austria,Belgium,Bolivia (Plurinational State of),Brazil,Burkina Faso,Canada,Chile,China,Colombia,Costa Rica,Cyprus,Denmark,Dominican Republic,Ecuador,Egypt,Finland,France,Germany,Greece,Guatemala,Iceland,India,Iran (Islamic Republic of),Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Luxembourg,Malaysia,Malta,Mauritius,Mexico,Morocco,Netherlands,New Zealand,Nigeria,Norway,Paraguay,Peru,Philippines,Portugal,Republic of Korea,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad and Tobago,Turkey,United Kingdom,United States,Uruguay,Venezuela (Bolivarian Republic of),Zambia,Zimbabwe
1960-01-01,3252.6304937262184,15437.93921587361,10109.611369354281,11293.192122263776,1545.339433167888,2429.154769136258,900.5861564599616,14980.657991366155,5466.905226577042,996.1005542456209,3763.216611346512,5118.8613718025235,4003.454119455718,13838.497407652632,2576.5653182761666,4261.882390883877,742.3300051078176,9996.589671679956,11326.729965872455,11135.842894423218,5311.823728995225,2484.059900213341,11993.063517159284,1148.3949360672264,2809.60117542434,7065.146144418939,9531.664011549747,7816.457784407395,5564.289686646209,5821.0912031885,2849.789135780625,1874.943607999995,20780.012009000104,2929.057483433068,2307.696412138621,4136.290705745555,6472.486122939716,1500.8962590018737,12502.422791317087,14751.457298898014,2000.9889904337656,12208.546496983794,2070.1415098923108,2823.0676688215426,2031.7543557794672,4544.480722811044,1224.790570106936,6526.071714856579,6251.700803901247,3028.5787251993584,14606.947242853515,22529.51776766973,2553.96812300537,1214.7234732401948,7869.284795806524,5051.111940364787,12861.092669631382,18900.7482995768,7705.264011455653,7851.395244229604,2858.7623231620487,2485.5711122595203
1961-01-01,3353.9496001245966,15473.133027945616,10639.052413533624,11737.216192964528,1595.4433484726644,2660.4711107698736,868.7979180200211,15212.399257875666,5181.702596861171,857.2252024008504,3875.528794651395,4868.333528717954,4464.270829157564,14599.91625806999,2438.9677685351394,4331.561607997091,755.4980097561487,10942.40280632223,11748.185463153057,11521.022580680075,6003.546364585495,2492.387857675108,12586.393460543284,1167.3088672476663,2817.3706497843896,7449.719487870412,10456.032690363141,8450.219489154106,5765.521675689304,6398.089519801418,3145.5415997422483,1831.7416629072466,20408.19317998585,2842.293855256013,2383.234083206859,4717.47936195766,6450.84288889376,1830.8871336517648,12763.756983533218,15164.504023227742,2009.8642164606226,12895.270817418963,2130.4547688585753,2904.4559622788092,2036.912555879182,4810.579125844,1244.7821666883797,6608.345807915694,6898.983933575266,2919.825530708777,15347.653401662883,23763.679676246316,2698.279393409659,1258.7176820186075,9048.024833983623,4998.647316371264,13104.363940648609,19068.181066674548,7713.958736685588,7718.622952410679,2713.0675694078755,2547.953859098187
1962-01-01,3145.8337253850423,16085.577382810843,10893.577429225033,12290.966809252828,1604.5216987841782,2750.120053046702,931.3505021141851,15865.701721698582,6272.529842872344,921.0377498097859,3944.3326512370386,5014.773916815612,5276.472329109516,15312.042356018674,2935.6549385404364,4388.542546784172,778.2365552195107,11057.878230440256,12272.304545713874,11891.337982699177,5885.486399175302,2508.6362084024145,12818.870620394404,1189.8613038182816,2858.207634439208,7640.143768363271,10524.091948374109,8898.500178949798,5669.639099135419,6959.574964487977,3123.3324965061356,1892.2581739663594,19573.58247481199,2887.320599132691,2335.265160793967,4960.473828747521,6501.100933859777,2023.6548581285213,13296.523746059893,15358.308644498678,2048.3074557130926,13160.625882033883,2145.2385825905144,3073.789696072973,2107.579486206315,5184.756773411942,1221.2956089008505,6694.1442256412165,7509.6784413506475,3047.4716505370307,15819.357315844654,24324.099307441804,2843.1345450845656,1274.56466720896,8650.320971393863,5165.759932767505,13187.817969658041,19929.942622525516,7773.475156648402,7793.0941389673835,2582.095370207281,2452.915674665283
1963-01-01,3073.95187852508,17126.59188679933,11316.709074819717,12612.764838135494,1671.2246844251151,2847.9783236522812,897.8690317015111,16342.581169560903,6489.135027084772,1003.0550397196819,3940.751608222637,5137.602223195689,5293.764026921104,15501.668195819295,3043.2705684702682,4340.968355190425,825.8122155016031,11226.655257415932,12866.807280877054,12040.616834554883,6630.980067483868,2613.3095243876583,14108.51745327375,1246.232149907961,2877.51853604714,7938.1098122700205,11235.953944908499,9304.82468001181,6203.054644463419,7473.350455499638,3130.370001078162,1881.088916625721,19807.91507495579,2918.2500812397034,2339.4559584972235,5962.182734131953,6899.624148187587,2305.5432405937163,13711.781254737494,16322.91288908423,2092.2278198047716,13485.482291537428,2211.0310323455824,3168.1824234146275,2174.9879501405485,5481.432698240156,1344.164819132383,6969.302768998254,8161.915243250068,2862.734784928014,16507.99389414413,24972.619902929706,3108.697374729226,1315.5940078049878,9668.196740514391,5521.46122035883,13592.44567948818,20496.012846995814,7463.1808878771635,8011.923465486873,2661.708147438892,2434.347993749823
1964-01-01,3232.069949127635,17551.08833245183,11799.938401767493,13416.457116221221,1766.8292655806742,2912.6840020782315,939.889585895403,17156.526784217534,6496.159825139292,1095.9631746436332,4175.182611626432,5284.735351686278,4588.755877967797,16740.483673582592,3097.1562364940974,4534.075381511726,912.4482465378275,11737.465271752115,13599.991836634736,12832.087662740058,7091.929233846823,2655.6066606736654,15965.87991720203,1308.7856772367763,2870.2889929066864,8278.042982793846,11899.134411652009,9488.78571736663,6218.956256786638,8251.859885807606,3503.2675594295715,1976.9132513170068,21198.97344313111,3013.607377432334,2393.1679758777773,6110.288428346406,7577.689457839936,2404.436552418611,14562.24077600434,16840.16562437944,2039.5170483892678,14304.985086325176,2241.9087547677195,3372.711580779416,2136.634174682009,5610.737806794863,1417.7470942915625,7274.837986052146,8508.507578976869,2903.375688434962,17483.481032825366,26086.78410570256,3449.72781846189,1392.5595474179122,9838.998520411826,5630.367013984638,14308.948817836537,21400.358562020672,7707.037661439318,8533.701578621858,3031.8936738007346,2297.1940388271573
1965-01-01,3670.7265906227262,17488.758762428155,12125.572445991931,13861.289084017535,1913.4543947795896,3028.0547787617434,930.1538212059293,17990.958514733076,6400.805742446893,1175.8580604307294,4046.001056186727,5509.254040104932,5813.379975870737,17406.06424414049,2637.4593052505406,4530.324778674339,924.5017522906126,12503.14366955738,14116.597544958226,13365.383676031204,7824.810249201325,2684.949593687544,17504.737361444957,1257.5759720527833,3116.0362910980816,8362.628087512712,11745.852799150447,9683.232866378832,6182.121684338545,8700.625830252313,3734.531545479161,1989.4796780471509,21396.138843056437,3209.531042391623,2535.7161041486097,5271.426996930251,7750.345750291737,2310.3891835291565,15469.443496300973,17454.727074815593,2213.401912124439,15042.7630470493,2324.01794215698,3426.756417374897,2176.067467797649,5969.491539107882,1450.551069667037,7429.45067220719,8901.162352057945,2916.3791371211314,18013.91763744006,26638.505471761197,3674.274841204703,1497.8895851397106,8843.207104773825,5639.460002163455,14618.825886025006,22554.89599314365,7542.702574040852,8434.294486955152,3169.792374197862,2451.552938115471
1966-01-01,3597.39575652797,18308.144374637035,12646.28142669554,14208.098447298311,1976.213011232928,3064.6361466725816,932.6066472939954,18823.274925209425,6927.012135368206,1176.072473286528,4120.526755231942,5694.803630645486,6161.119575819852,17821.730990180997,2769.6429880924156,4544.812534056241,933.6651707510578,12795.355671654966,14740.08171840159,13661.814250253594,8409.615828695725,2767.4108546540588,18531.552740063977,1224.2200355787463,3286.109897363434,8554.678025323412,12635.046229312538,10158.30222259188,6349.10656781501,9497.346424145486,3652.6803361338607,2127.0296955085496,21351.570123336627,3284.105410263817,2808.074264315851,5418.4073857217145,7991.6854487992905,2180.8233100066886,15849.52834425074,18193.950955486875,2153.614334686252,15512.944014445762,2308.316473201716,3613.4671484696137,2217.837332409487,6125.393186881094,1597.782090211992,7588.6246340321895,9536.867958032884,2929.3350742123885,18197.15843285454,27151.86570305069,3914.918956221819,1656.6501819698171,10156.132268376878,6272.830551148483,14886.77864792852,23765.60642379272,7813.901990870791,8145.274770599306,3872.238268823981,2275.946301859577
1967-01-01,3705.228203274349,18702.780342656806,12955.031087698882,14672.851602908418,2032.6769421488536,3221.9901228735457,1015.3342737305782,19024.648322718545,7129.9396289369315,1179.5307476852374,4170.060164633063,5771.866967617532,6731.719787410884,18680.014952160425,2745.681075914434,4749.300298614882,945.1301899279216,13004.024628833085,15365.425095193643,13499.323348226553,8781.827044700178,2790.4853466090335,17920.6340093643,1290.2696580980908,3510.1011966175524,9084.522843226692,12072.661450283094,10837.552074271936,6257.506413062162,10390.777426141238,3774.5923974497296,2138.1029052474896,21644.42113830954,3216.008254880065,2989.3601364596875,5405.914093017932,8148.403783324808,2193.730038459195,16671.145218363366,16761.650689673414,1811.2053858464776,16535.96055669641,2411.6814961413497,3682.3491545570682,2217.2169673329413,6547.493404687035,1654.1252819299416,7964.182671396009,9966.323157295596,2920.6655072725275,18679.4855721104,27896.418651810178,4289.65870892537,1672.2680472346012,10982.554627046002,6391.996742867973,15167.447935952954,24127.708210106248,7438.655853482409,8107.37523918532,4159.367042631266,2246.143208367384
1968-01-01,3757.5573769726443,19832.132265586133,13482.006887942363,15225.984791577404,1780.806000897569,3450.5646557958758,1030.7645345083172,19595.312438954206,7332.939418739245,1115.3386343788031,4302.768240560694,5935.041438532785,6941.271161635277,19608.594177638788,2665.1012395017992,4844.643783160821,1020.8948318020628,13488.884889155932,15915.794012617995,14192.188952996452,9317.432590302216,2948.9710486681097,16110.85081056712,1322.7522981728582,3747.788964891235,9675.817532112003,12285.199990690418,11462.762139329467,6082.0155897065715,11572.95410945294,3656.5516862451486,2063.5321619144706,22902.917544108193,3224.109816728398,3268.3033760129238,4462.291583881536,8557.503840907686,2283.484105969352,17897.304689709257,16432.03667678525,1762.6377270958203,17075.054717063693,2449.952353814818,3659.3960760907435,2302.554449446828,7637.916055153223,1805.9310027237896,8114.761679751353,10541.176283571402,3112.033214502104,19250.840660111116,28727.270210483384,4656.661395894627,1731.0528917707754,11401.939367954265,6680.625177944265,15641.968485343708,25068.51029837776,7480.614846032435,8675.629413759701,4248.996691613332,2034.7106668357103
1969-01-01,4028.091088151645,20869.335917820456,14091.953780317774,16266.454834962191,1811.4905149559443,3429.410708671945,1033.460807643162,20301.879816228055,7718.590389828897,1192.7034084764314,4482.434390606701,6091.130884053648,7730.348476838251,21000.18435270712,2859.8257875908785,4816.964903827607,1074.4031332054874,14941.246624808837,16926.752576230974,15231.488182491234,10368.080858566611,3050.2748703315265,16396.144221263006,1436.5194370995634,3809.9872808626747,10182.605499880552,13787.07111282654,12126.599704259484,6251.1199047461805,12823.37486498671,3380.7840717040763,2122.342369961633,25986.6645682107,3457.8906715606836,3614.873844009812,4519.5742578199415,8636.786526791255,2480.349444344098,18585.494592121366,18009.526919408672,2116.603595615309,17446.642733966222,2521.4934512352756,3760.8650739036666,2373.155834317857,7981.684296498341,2027.733676275661,8480.884624597298,11432.652909255152,3180.5021909640564,20106.449816442,29828.358726163944,5007.973679016197,1851.8797791434688,11793.922014272497,6862.464405563323,15898.453976300127,25626.912899659943,7935.28463913205,8763.312316498228,4784.587473829036,2478.5167012859165
